"basic","image","pid","parameter","display_pid","maintenance"
"{""category"":""Scrophulariaceae, Penstemon"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""color"":""Flower color lilac"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBjZW50dXJpb24gZjEgbGF2ZW5kZXIuanBn?imageView2/1/w/%d/h/%d","delphinium centurion f1 lavender","{""max_soil_moist"":60,""min_soil_moist"":15,""min_temp"":5,""min_env_humid"":30,""max_temp"":35,""max_light_lux"":50000,""max_env_humid"":80,""min_light_lux"":3000,""max_soil_ec"":2000,""min_soil_ec"":350,""max_light_mmol"":5000,""min_light_mmol"":3500}","Delphinium Centurion F1 Lavender","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""soil"":""Peat or soil with specific nutrients""}"
"{""origin"":""Europe"",""category"":""Scrophulariaceae, Penstemon"",""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""color"":""Flower color pink""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBjZW50dXJpb24gZjEgcm9zZS5qcGc=?imageView2/1/w/%d/h/%d","delphinium centurion f1 rose","{""min_light_lux"":3000,""max_soil_moist"":60,""max_env_humid"":80,""max_light_mmol"":5000,""min_light_mmol"":3500,""max_light_lux"":50000,""max_soil_ec"":2000,""max_temp"":35,""min_soil_ec"":350,""min_temp"":5,""min_soil_moist"":15,""min_env_humid"":30}","Delphinium Centurion F1 Rose","{""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring""}"
"{""color"":""Flower color blue"",""production"":""China"",""category"":""Scrophulariaceae, Penstemon"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""origin"":""Europe"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks.""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBjZW50dXJpb24gZjEgc2t5IGJsdWUuanBn?imageView2/1/w/%d/h/%d","delphinium centurion f1 sky blue","{""min_soil_moist"":15,""max_soil_moist"":60,""max_light_mmol"":5000,""min_light_lux"":3000,""min_soil_ec"":350,""min_env_humid"":30,""max_env_humid"":80,""max_soil_ec"":2000,""min_temp"":5,""max_temp"":35,""max_light_lux"":50000,""min_light_mmol"":3500}","Delphinium Centurion F1 Sky Blue","{""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""category"":""Scrophulariaceae, Penstemon"",""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""origin"":""Europe"",""color"":""Flower color white""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBjZW50dXJpb24gZjEgd2hpdGUuanBn?imageView2/1/w/%d/h/%d","delphinium centurion f1 white","{""min_env_humid"":30,""min_temp"":5,""max_temp"":35,""max_soil_ec"":2000,""max_light_mmol"":5000,""max_light_lux"":50000,""min_soil_ec"":350,""max_soil_moist"":60,""min_light_lux"":3000,""min_light_mmol"":3500,""min_soil_moist"":15,""max_env_humid"":80}","Delphinium Centurion F1 White","{""watering"":""Water thoroughly after soil surface dries"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""production"":""China"",""origin"":""Europe"",""color"":""Flower color light blue"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""category"":""Scrophulariaceae, Penstemon""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBibHVlIHBvd2VyLmpwZw==?imageView2/1/w/%d/h/%d","delphinium delphi's blue power","{""min_light_lux"":3000,""max_soil_ec"":2000,""max_temp"":35,""min_soil_moist"":15,""min_light_mmol"":3500,""max_soil_moist"":60,""min_soil_ec"":350,""max_light_lux"":50000,""max_light_mmol"":5000,""min_env_humid"":30,""min_temp"":5,""max_env_humid"":80}","Delphinium Delphi's Blue Power","{""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""soil"":""Peat or soil with specific nutrients""}"
"{""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""origin"":""Europe"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""category"":""Scrophulariaceae, Penstemon"",""color"":""Flower color white""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBkaWFtYW50LmpwZw==?imageView2/1/w/%d/h/%d","delphinium delphi's diamant","{""min_soil_moist"":15,""max_env_humid"":80,""max_light_lux"":50000,""min_soil_ec"":350,""max_light_mmol"":5000,""max_soil_ec"":2000,""min_env_humid"":30,""min_light_lux"":3000,""min_temp"":5,""max_soil_moist"":60,""max_temp"":35,""min_light_mmol"":3500}","Delphinium Delphi's Diamant","{""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""production"":""China"",""category"":""Scrophulariaceae, Penstemon"",""color"":""Flower color dark blue"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBlbWVyYWxkLmpwZw==?imageView2/1/w/%d/h/%d","delphinium delphi's emerald","{""min_light_lux"":3000,""min_temp"":5,""max_env_humid"":80,""max_light_lux"":50000,""min_light_mmol"":3500,""min_soil_ec"":350,""max_light_mmol"":5000,""max_soil_ec"":2000,""max_soil_moist"":60,""min_env_humid"":30,""min_soil_moist"":15,""max_temp"":35}","Delphinium Delphi's Emerald","{""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""origin"":""Europe"",""color"":""Flower color light purple"",""category"":""Scrophulariaceae, Penstemon"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBldmVuaW5nIGxpZ2h0LmpwZw==?imageView2/1/w/%d/h/%d","delphinium delphi's evening light","{""min_light_mmol"":3500,""min_temp"":5,""min_soil_moist"":15,""max_temp"":35,""max_soil_moist"":60,""max_light_mmol"":5000,""min_light_lux"":3000,""max_light_lux"":50000,""max_soil_ec"":2000,""min_env_humid"":30,""min_soil_ec"":350,""max_env_humid"":80}","Delphinium Delphi's Evening light","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""origin"":""Europe"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""category"":""Scrophulariaceae, Penstemon"",""color"":""Flower color dark blue"",""production"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBob2xsYW5kcyBnbG9yaWUuanBn?imageView2/1/w/%d/h/%d","delphinium delphi's hollands glorie","{""min_env_humid"":30,""max_soil_moist"":60,""min_light_lux"":3000,""min_light_mmol"":3500,""min_soil_moist"":15,""max_soil_ec"":2000,""max_light_mmol"":5000,""min_temp"":5,""max_temp"":35,""max_light_lux"":50000,""max_env_humid"":80,""min_soil_ec"":350}","Delphinium Delphi's Hollands Glorie","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""soil"":""Peat or soil with specific nutrients""}"
"{""color"":""Flower color purple"",""origin"":""Europe"",""category"":""Scrophulariaceae, Penstemon"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""production"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBkZWxwaGkncyBqZXdlbC5qcGc=?imageView2/1/w/%d/h/%d","delphinium delphi's jewel","{""max_soil_moist"":60,""min_light_lux"":3000,""max_env_humid"":80,""min_env_humid"":30,""max_temp"":35,""min_temp"":5,""max_light_lux"":50000,""max_soil_ec"":2000,""min_soil_ec"":350,""max_light_mmol"":5000,""min_light_mmol"":3500,""min_soil_moist"":15}","Delphinium Delphi's Jewel","{""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
